#Pruebas lindas
1;0;Arroz Diana;Es un arroz deliciosos para el consumo y rico en proteinas.;12;11;2045;12;
2;1;Carne Enlatada;Esta carne se encuentra enlatada para una mejor preservación;11;8;2056;3;
3;5;Tilapia;Este pescado es de color rojo y se puede encontrar en colombia.;8;3;2024;20;
4;3;Leche;Este producto proporciona gran cantidad de hierro en el cuerpo para su vasto crecimiento;12;11;2023;50;
5;2;Cuca;Este producto es exquisito para el paladar y la degustación del humano.;1;5;2023;50;
6;1;Chorizo enlatado;El chorizo es rico en grasas;29;4;2040;20;
7;1;Frijol enlatado;Los frijoles son la mejor comida que puedes encontrar;24;6;2029;40;
8;1;Sashimi enlatado;Un poco de sashimi en la vida no hace mal.;22;7;2027;77;
9;1;Duraznos enlatados;Duraznos exquisitos para toda la familia;10;10;2043;38;
10;1;Sopa enlatada;Una sopa echa con el amor de mama.;11;8;2056;3;

# Pruebas de capacidad
1;0;1;1;1;1;2031;1;
2;0;1;1;1;1;2031;1;
3;0;1;1;1;1;2031;1;
4;0;1;1;1;1;2031;1;
5;0;1;1;1;1;2031;1;
6;0;1;1;1;1;2031;1;
7;0;1;1;1;1;2031;1;
8;0;1;1;1;1;2031;1;
9;0;1;1;1;1;2031;1;
10;0;1;1;1;1;2031;1;
11;0;1;1;1;1;2031;1;
12;0;1;1;1;1;2031;1;
13;0;1;1;1;1;2031;1;
14;0;1;1;1;1;2031;1;
15;0;1;1;1;1;2031;1;
16;0;1;1;1;1;2031;1;
17;0;1;1;1;1;2031;1;
18;0;1;1;1;1;2031;1;
19;0;1;1;1;1;2031;1;
20;0;1;1;1;1;2031;1;
21;0;1;1;1;1;2031;1;
22;0;1;1;1;1;2031;1;
23;0;1;1;1;1;2031;1;
24;0;1;1;1;1;2031;1;
25;0;1;1;1;1;2031;1;
26;0;1;1;1;1;2031;1;
27;0;1;1;1;1;2031;1;
28;0;1;1;1;1;2031;1;
29;0;1;1;1;1;2031;1;
30;0;1;1;1;1;2031;1;
31;0;1;1;1;1;2031;1;
32;0;1;1;1;1;2031;1;
33;0;1;1;1;1;2031;1;
34;0;1;1;1;1;2031;1;
35;0;1;1;1;1;2031;1;
36;0;1;1;1;1;2031;1;
37;0;1;1;1;1;2031;1;
38;0;1;1;1;1;2031;1;
39;0;1;1;1;1;2031;1;
40;0;1;1;1;1;2031;1;
41;0;1;1;1;1;2031;1;
42;0;1;1;1;1;2031;1;
43;0;1;1;1;1;2031;1;
44;0;1;1;1;1;2031;1;
45;0;1;1;1;1;2031;1;
46;0;1;1;1;1;2031;1;
47;0;1;1;1;1;2031;1;
48;0;1;1;1;1;2031;1;
49;0;1;1;1;1;2031;1;
50;0;1;1;1;1;2031;1;
51;0;1;1;1;1;2031;1;
52;0;1;1;1;1;2031;1;
53;0;1;1;1;1;2031;1;
54;0;1;1;1;1;2031;1;
55;0;1;1;1;1;2031;1;
56;0;1;1;1;1;2031;1;
57;0;1;1;1;1;2031;1;
58;0;1;1;1;1;2031;1;
59;0;1;1;1;1;2031;1;
60;0;1;1;1;1;2031;1;
61;0;1;1;1;1;2031;1;
62;0;1;1;1;1;2031;1;
63;0;1;1;1;1;2031;1;
64;0;1;1;1;1;2031;1;
65;0;1;1;1;1;2031;1;
66;0;1;1;1;1;2031;1;
67;0;1;1;1;1;2031;1;
68;0;1;1;1;1;2031;1;
69;0;1;1;1;1;2031;1;
70;0;1;1;1;1;2031;1;
71;0;1;1;1;1;2031;1;
72;0;1;1;1;1;2031;1;
73;0;1;1;1;1;2031;1;
74;0;1;1;1;1;2031;1;
75;0;1;1;1;1;2031;1;
76;0;1;1;1;1;2031;1;
77;0;1;1;1;1;2031;1;
78;0;1;1;1;1;2031;1;
79;0;1;1;1;1;2031;1;
80;0;1;1;1;1;2031;1;
81;0;1;1;1;1;2031;1;
82;0;1;1;1;1;2031;1;
83;0;1;1;1;1;2031;1;
84;0;1;1;1;1;2031;1;
85;0;1;1;1;1;2031;1;
86;0;1;1;1;1;2031;1;
87;0;1;1;1;1;2031;1;
88;0;1;1;1;1;2031;1;
89;0;1;1;1;1;2031;1;
90;0;1;1;1;1;2031;1;
91;0;1;1;1;1;2031;1;
92;0;1;1;1;1;2031;1;
93;0;1;1;1;1;2031;1;
94;0;1;1;1;1;2031;1;
95;0;1;1;1;1;2031;1;
96;0;1;1;1;1;2031;1;
97;0;1;1;1;1;2031;1;
98;0;1;1;1;1;2031;1;
99;0;1;1;1;1;2031;1;
100;0;1;1;1;1;2031;1;
101;0;1;1;1;1;2031;1;
102;0;1;1;1;1;2031;1;
103;0;1;1;1;1;2031;1;
104;0;1;1;1;1;2031;1;
105;0;1;1;1;1;2031;1;
106;0;1;1;1;1;2031;1;
107;0;1;1;1;1;2031;1;
108;0;1;1;1;1;2031;1;
109;0;1;1;1;1;2031;1;
110;0;1;1;1;1;2031;1;
111;0;1;1;1;1;2031;1;
112;0;1;1;1;1;2031;1;
113;0;1;1;1;1;2031;1;
114;0;1;1;1;1;2031;1;
115;0;1;1;1;1;2031;1;
116;0;1;1;1;1;2031;1;
117;0;1;1;1;1;2031;1;
118;0;1;1;1;1;2031;1;
119;0;1;1;1;1;2031;1;
120;0;1;1;1;1;2031;1;
121;0;1;1;1;1;2031;1;
122;0;1;1;1;1;2031;1;
123;0;1;1;1;1;2031;1;
124;0;1;1;1;1;2031;1;
125;0;1;1;1;1;2031;1;
126;0;1;1;1;1;2031;1;
127;0;1;1;1;1;2031;1;
128;0;1;1;1;1;2031;1;
129;0;1;1;1;1;2031;1;
130;0;1;1;1;1;2031;1;
131;0;1;1;1;1;2031;1;
132;0;1;1;1;1;2031;1;
133;0;1;1;1;1;2031;1;
134;0;1;1;1;1;2031;1;
135;0;1;1;1;1;2031;1;
136;0;1;1;1;1;2031;1;
137;0;1;1;1;1;2031;1;
138;0;1;1;1;1;2031;1;
139;0;1;1;1;1;2031;1;
140;0;1;1;1;1;2031;1;
141;0;1;1;1;1;2031;1;
142;0;1;1;1;1;2031;1;
143;0;1;1;1;1;2031;1;
144;0;1;1;1;1;2031;1;
145;0;1;1;1;1;2031;1;
146;0;1;1;1;1;2031;1;
147;0;1;1;1;1;2031;1;
148;0;1;1;1;1;2031;1;
149;0;1;1;1;1;2031;1;
150;0;1;1;1;1;2031;1;
151;0;1;1;1;1;2031;1;
152;0;1;1;1;1;2031;1;
153;0;1;1;1;1;2031;1;
154;0;1;1;1;1;2031;1;
155;0;1;1;1;1;2031;1;
156;0;1;1;1;1;2031;1;
157;0;1;1;1;1;2031;1;
158;0;1;1;1;1;2031;1;
159;0;1;1;1;1;2031;1;
160;0;1;1;1;1;2031;1;
161;0;1;1;1;1;2031;1;
162;0;1;1;1;1;2031;1;
163;0;1;1;1;1;2031;1;
164;0;1;1;1;1;2031;1;
165;0;1;1;1;1;2031;1;
166;0;1;1;1;1;2031;1;
167;0;1;1;1;1;2031;1;
168;0;1;1;1;1;2031;1;
169;0;1;1;1;1;2031;1;
